filename,dprove,pdr,iimc,IC3
a219test0013.aig,0.04,0.04,0.05,0.0
a220test0006.aig,0.06,0.03,0.04,0.0
a221test0007.aig,0.03,0.04,0.02,0.0
a222test0008.aig,0.05,0.03,0.03,0.0
a223test0004.aig,0.07,0.04,0.04,0.0
a224test0015.aig,0.03,0.04,0.03,0.0
a240test0001.aig,0.03,0.06,0.02,0.0
a241test0002.aig,0.03,0.04,0.04,0.0
a242test0003.aig,0.06,0.03,0.03,0.0
a30test0009.aig,0.03,0.03,0.04,0.0
a311test0009.aig,0.03,0.03,0.02,0.0
a31test0016.aig,0.06,0.04,0.03,0.0
a323test0005.aig,0.04,0.04,0.04,0.0
a324test0010.aig,0.04,0.03,0.03,0.0
a325test0001.aig,0.02,0.04,0.02,0.0
a326test0002.aig,0.08,0.03,0.04,0.0
a327test0011.aig,0.07,0.03,0.02,0.0
a328test0003.aig,0.04,0.04,0.03,0.0
a329test0006.aig,0.04,0.03,0.04,0.0
a330test0007.aig,0.04,0.98,0.02,0.01
a331test0008.aig,0.04,0.03,0.04,0.0
a332test0004.aig,0.02,0.04,0.03,0.0
a333test0009.aig,0.04,0.04,0.03,0.0
a334test0016.aig,0.07,0.04,0.02,0.0
a335test0041.aig,0.04,0.04,0.04,0.0
a388test0040.aig,0.08,0.04,0.04,0.0
a389test0021.aig,0.07,0.04,0.04,0.0
a390test0005.aig,0.09,0.04,0.04,0.0
a391test0010.aig,0.02,0.03,0.02,0.0
a392test0051.aig,0.03,0.04,0.03,0.0
a393test0014.aig,0.03,0.03,0.02,0.0
a394test0036.aig,0.05,0.03,0.03,0.0
a395test0001.aig,0.05,0.04,0.03,0.0
a396test0018.aig,0.03,0.04,0.05,0.0
a397test0029.aig,0.06,0.04,0.02,0.0
a398test0035.aig,0.04,0.04,0.04,0.0
a399test0012.aig,0.05,0.98,0.04,0.01
a400test0025.aig,0.06,0.04,0.04,0.0
a401test0052.aig,0.04,0.04,0.04,0.0
a402test0032.aig,0.08,0.04,0.04,0.0
a403test0043.aig,0.03,0.03,0.04,0.0
a404test0017.aig,0.06,0.04,0.03,0.0
a405test0019.aig,0.09,0.03,0.04,0.0
a406test0030.aig,0.06,0.04,0.03,0.0
a407test0024.aig,0.04,0.04,0.03,0.0
a408test0044.aig,0.06,0.04,0.02,0.0
a409test0002.aig,0.04,0.03,0.04,0.0
a410test0042.aig,0.05,0.04,0.03,0.0
a411test0047.aig,0.03,0.04,0.02,0.0
a412test0023.aig,0.03,0.03,0.03,0.0
a413test0011.aig,0.07,0.04,0.04,0.0
a414test0003.aig,0.05,0.03,0.02,0.0
a415test0026.aig,0.03,0.04,0.03,0.0
a416test0038.aig,0.04,0.04,0.03,0.0
a417test0013.aig,0.03,0.04,0.04,0.0
a418test0022.aig,0.03,0.06,0.04,0.0
a419test0045.aig,0.04,0.03,0.03,0.0
a420test0006.aig,0.04,0.04,0.02,0.0
a421test0007.aig,0.04,0.06,0.03,0.0
a422test0046.aig,0.08,0.04,0.04,0.0
a423test0008.aig,0.03,0.04,0.05,0.0
a424test0004.aig,0.04,0.04,0.02,0.0
a425test0037.aig,0.04,0.04,0.03,0.0
a426test0049.aig,0.04,0.04,0.02,0.0
a427test0048.aig,0.04,0.03,0.03,0.0
a428test0033.aig,0.03,0.04,0.02,0.0
a429test0020.aig,0.08,0.04,0.03,0.0
a430test0028.aig,0.03,0.03,0.03,0.0
a431test0034.aig,0.07,0.05,0.03,0.0
a432test0031.aig,0.06,0.04,0.04,0.0
a433test0015.aig,0.15,0.03,0.04,0.0
a434test0027.aig,0.03,0.03,0.03,0.0
a435test0039.aig,0.06,0.04,0.03,0.0
a436test0050.aig,0.03,0.03,0.03,0.0
a438test0001.aig,0.04,0.04,0.03,0.0
a445test0005.aig,0.04,0.04,0.04,0.0
a446test0001.aig,0.03,0.03,0.05,0.0
a447test0002.aig,0.03,0.04,0.04,0.0
a448test0003.aig,0.08,0.04,0.05,0.0
a449test0006.aig,0.03,0.04,0.05,0.0
a450test0004.aig,0.04,0.04,0.06,0.0
a451test0009.aig,0.04,0.04,0.06,0.0
a452test0016.aig,0.03,0.04,0.05,0.0
a477test0021.aig,0.06,0.04,0.07,0.0
a478test0005.aig,0.04,0.04,0.05,0.0
a479test0010.aig,0.08,0.04,0.06,0.0
a480test0014.aig,0.05,0.03,0.06,0.0
a481test0001.aig,0.04,0.04,0.06,0.0
a482test0018.aig,0.03,0.03,0.06,0.0
a483test0012.aig,0.06,0.04,0.06,0.0
a484test0017.aig,0.04,0.04,0.05,0.0
a485test0019.aig,0.04,0.04,0.05,0.0
a486test0024.aig,0.04,0.04,0.05,0.0
a487test0002.aig,0.04,0.04,0.04,0.0
a488test0023.aig,0.03,0.04,0.05,0.0
a489test0011.aig,0.04,0.03,0.06,0.0
a48test0005.aig,0.09,0.03,0.03,0.0
a490test0003.aig,0.04,0.04,0.05,0.0
a491test0013.aig,0.02,0.04,0.05,0.0
a492test0022.aig,0.04,0.04,0.06,0.0
a493test0006.aig,0.03,0.03,0.05,0.0
a494test0007.aig,0.04,0.04,0.05,0.0
a495test0008.aig,0.03,0.03,0.06,0.0
a496test0004.aig,0.03,0.03,0.05,0.0
a497test0020.aig,0.03,0.04,0.06,0.0
a498test0015.aig,0.05,0.03,0.05,0.0
a499test0009.aig,0.06,0.03,0.04,0.0
a49test0010.aig,0.03,0.03,0.04,0.0
a4test0001.aig,0.03,0.03,0.03,0.0
a500test0072.aig,0.06,0.03,0.02,0.0
a501test0016.aig,0.07,0.04,0.03,0.0
a502test0041.aig,0.04,0.04,0.03,0.0
a503test0089.aig,0.04,0.04,0.04,0.0
a50test0014.aig,0.04,0.04,0.03,0.0
a51test0001.aig,0.04,0.04,0.04,0.0
a52test0012.aig,0.02,0.04,0.05,0.0
a53test0002.aig,0.03,0.04,0.03,0.0
a54test0011.aig,0.04,0.04,0.06,0.0
a55test0003.aig,0.04,0.04,0.05,0.0
a56test0013.aig,0.03,0.03,0.04,0.0
a57test0006.aig,0.04,0.03,0.04,0.0
a58test0007.aig,0.04,0.03,0.04,0.0
