filename,dprove,pdr,iimc,IC3
bin_libsmbsharemodes_vc4777.aig,0.33,0.26,46.09,0.52
texas.PI_main^12.E.aig,0.08,0.14,0.06,0.12
intel046.aig,failed,123.84,773.16,266.94
convert-jpg2gif-query-1543.aig,0.35,0.63,40.94,0.32
bin_eventlogadm_vc331253.aig,6.81,14.05,54.99,9.76
bin_libsmbsharemodes_vc5731.aig,1.3,0.87,49.56,1.08
simple_processors_004_003_0016.aig,12.71,16.27,178.73,67.74
convert-jpg2gif-query-1194.aig,0.11,0.19,25.32,0.09
bin_libsmbsharemodes_vc7649.aig,1.3,1.11,124.0,1.58
beemelev1f1.aig,1.35,0.09,0.16,0.04
lfsr_002_111_016.aig,0.12,0.39,16.7,1.45
beemat7b1.aig,failed,timeout,1268.03,timeout
umulov2bw0512.aig,0.07,0.06,0.03,0.0
beemlann8b1.aig,failed,0.11,0.75,2.24
irst.dme6.B.aig,failed,247.36,23.81,38.7
bin_libmsrpc_vc1228570.aig,1.88,3.35,102.26,3.86
bin_libsmbsharemodes_vc4313.aig,1.52,1.19,94.85,1.96
lfsr_002_063_016.aig,0.14,0.69,6.39,0.64
bin_libsmbclient_vc1225775.aig,1.66,2.17,133.01,3.53
convert-jpg2gif-query-1476.aig,0.56,0.52,31.32,0.34
ext_con_008_064_1024.aig,8.95,1.6,66.31,9.73
beemlmprt2b1.aig,failed,4.56,0.24,15.87
bin_libmsrpc_vc1225403.aig,1.39,2.56,105.25,5.11
bin_eventlogadm_vc351399.aig,56.08,1.78,27.71,2.7
lfsr_008_031_096.aig,1148.22,1274.41,timeout,timeout
smulov2bw512.aig,failed,failed,1565.41,730.38
eijk.S526.S.aig,0.11,223.34,4.44,47.69
bin_libsmbsharemodes_vc7647.aig,2.39,4.16,200.69,7.21
ext_con_036_002_1024.aig,72.24,155.35,2337.58,940.2
bin_eventlogadm_vc331226.aig,2.19,2.71,39.75,7.51
bin_libsmbclient_vc1228444.aig,2.23,3.97,111.65,8.75
bin_libmsrpc_vc1228578.aig,1.54,1.57,76.88,5.4
lfsr_002_031_048.aig,2.21,0.7,10.13,1.58
beemprots3f1.aig,0.04,0.07,0.09,0.04
bin_eventlogadm_vc331241.aig,712.64,4.01,57.11,7.2
bin_eventlogadm_vc344385.aig,3.05,5.96,30.73,8.07
boblivear.aig,185.33,7.58,5.56,35.45
beempgmprot6b1.aig,failed,2367.9,15.23,1022.68
innfeed_imapfeed_vc25427.aig,96.24,3.84,161.76,0.93
beemcycschd3b1.aig,1.71,0.25,0.16,0.61
bin_libsmbsharemodes_vc4296.aig,0.46,0.51,48.33,0.52
isqrtinvalidvc.aig,1.18,19.8,13.5,4.0
